2025-06-21,1,6,10,24,30,42
2025-06-14,1,6,10,17,19,28
2025-06-07,11,13,22,26,30,36
2025-05-31,5,7,9,23,27,45
2025-05-24,5,13,33,35,36,37
2025-05-17,9,19,31,37,40,44
2025-05-10,1,18,25,35,38,45
2025-05-03,16,27,29,30,34,43
2025-04-26,1,7,21,32,38,42
2025-04-19,10,14,19,21,28,44
2025-04-12,3,6,13,17,22,45
2025-04-05,3,10,23,27,42,43
2025-03-29,1,3,17,21,36,41
2025-03-22,11,16,29,34,42,45
2025-03-15,3,13,15,16,27,30
2025-03-08,2,16,18,28,29,38
2025-03-01,3,6,11,12,13,37
2025-02-22,2,5,26,28,31,39
2025-02-15,8,18,19,31,41,43
2025-02-08,6,15,25,35,40,42
2025-02-01,1,7,8,12,18,41
2025-01-25,8,12,15,21,28,34
2025-01-18,7,11,15,19,34,45
2025-01-11,6,8,18,19,29,38
2025-01-04,8,10,19,23,31,33
2024-12-28,4,12,26,29,40,41
2024-12-21,9,18,25,27,38,44
2024-12-14,6,7,11,21,30,35
2024-12-07,1,7,11,13,16,35
2024-11-30,8,13,16,30,39,41
2024-11-23,3,6,17,25,40,42
2024-11-16,5,6,8,29,38,44
2024-11-09,5,6,30,37,39,43
2024-11-02,1,3,6,10,18,42
2024-10-26,1,25,29,35,42,43
2024-10-19,5,15,22,26,33,43
2024-10-12,2,8,10,21,28,45
2024-10-05,13,15,18,24,27,30
2024-09-28,15,19,29,34,37,40
2024-09-21,6,21,24,29,32,42
2024-09-14,6,14,22,32,34,38
2024-09-07,7,13,15,16,20,38
2024-08-31,4,6,15,20,32,39
2024-08-24,5,8,42,43,44,45
2024-08-17,1,3,15,23,25,41
2024-08-10,4,10,37,38,42,45
2024-08-03,10,11,12,13,41,45
2024-07-27,4,11,20,27,37,45
2024-07-20,17,23,25,29,30,31
2024-07-13,1,2,18,21,24,36
2024-07-06,3,4,15,20,26,44
2024-06-29,10,21,24,30,44,45
2024-06-22,2,22,35,37,38,40
2024-06-15,12,23,34,36,38,40
2024-06-08,3,13,14,24,30,32
2024-06-01,5,21,22,28,39,42
2024-05-25,8,10,22,35,36,38
2024-05-18,9,13,20,26,32,43
2024-05-11,17,20,21,31,41,44
2024-05-04,5,12,14,26,29,42
2024-04-27,1,7,20,26,34,39
2024-04-20,6,16,19,25,43,44
2024-04-13,1,3,16,18,19,25
2024-04-06,5,6,14,36,37,45
2024-03-30,9,12,15,42,43,44
2024-03-23,1,12,16,17,19,32
2024-03-16,3,17,28,35,40,44
2024-03-09,2,3,11,17,25,31
2024-03-02,5,8,15,18,19,30
2024-02-24,16,17,26,38,39,42
2024-02-17,7,11,22,25,28,34
2024-02-10,1,2,12,13,20,42
2024-02-03,3,11,19,22,23,29
2024-01-27,5,8,13,24,29,36
2024-01-20,11,22,27,33,35,37
2024-01-13,8,33,37,39,40,41
2024-01-06,12,13,17,34,36,42
2023-12-30,2,3,11,23,38,39
2023-12-23,1,20,24,31,37,39
2023-12-16,8,12,13,17,39,41
2023-12-09,9,11,25,32,33,44
2023-12-02,10,14,21,22,23,42
2023-11-25,17,20,30,36,37,44
2023-11-18,7,8,15,16,26,31
2023-11-11,1,2,23,24,28,30
2023-11-04,1,5,14,15,34,42
2023-10-28,12,13,14,18,30,35
2023-10-21,2,7,12,29,30,31
2023-10-14,7,10,11,23,24,38
2023-10-07,18,23,25,28,35,37
2023-09-30,6,20,27,29,43,45
2023-09-23,4,13,16,21,29,45
2023-09-16,11,23,27,28,37,41
2023-09-09,7,9,11,14,15,29
2023-09-02,9,16,32,37,40,41
2023-08-26,6,10,18,32,33,37
2023-08-19,14,16,24,34,41,44
2023-08-12,5,10,30,32,34,42
2023-08-05,1,2,18,24,36,43
2023-07-29,3,14,32,37,42,45
2023-07-22,1,5,14,26,32,33
2023-07-15,18,25,31,32,37,39
2023-07-08,5,26,29,34,37,41
2023-07-01,6,7,19,21,26,38
2023-06-24,4,8,21,29,30,37
2023-06-17,8,24,27,36,39,41
2023-06-10,2,11,12,23,42,43
2023-06-03,1,12,24,26,37,41
2023-05-27,7,8,22,28,34,37
2023-05-20,2,8,11,12,25,32
2023-05-13,6,22,23,24,33,36
2023-05-06,2,8,13,17,30,35
2023-04-29,4,15,16,18,35,45
2023-04-22,4,29,32,34,38,41
2023-04-15,4,16,23,31,39,43
2023-04-08,4,6,9,11,13,40
2023-04-01,5,10,25,36,39,45
2023-03-25,8,9,10,14,39,42
2023-03-18,1,6,15,21,43,44
2023-03-11,1,4,9,10,29,42
2023-03-04,1,9,13,32,33,34
2023-02-25,4,12,13,15,29,45
2023-02-18,8,11,16,24,30,34
2023-02-11,4,7,19,20,21,22
2023-02-04,11,27,31,34,39,45
2023-01-28,7,24,27,30,39,44
2023-01-21,9,10,11,23,32,40
2023-01-14,11,19,30,37,39,45
2023-01-07,2,9,11,17,18,38
2022-12-31,11,20,23,35,42,45
2022-12-24,4,7,8,24,32,39
2022-12-17,3,8,28,36,37,41
2022-12-10,6,14,22,24,35,44
2022-12-03,4,8,10,12,15,39
2022-11-26,12,14,22,29,31,45
2022-11-19,9,12,14,23,31,43
2022-11-12,3,6,12,18,31,35
2022-11-05,12,19,26,29,39,45
2022-10-29,3,6,7,9,22,42
2022-10-22,7,17,21,24,35,41
2022-10-15,5,7,11,12,24,40
2022-10-08,17,20,23,33,37,45
2022-10-01,9,20,25,30,32,40
2022-09-24,5,7,10,14,34,41
2022-09-17,4,7,9,21,23,25
2022-09-10,2,8,11,31,32,45
2022-09-03,3,6,10,18,21,39
2022-08-27,2,3,6,23,41,42
